Target Schema,Query Attribute,Matched Attribute,Confidence Score,Match Type
CanCOGeNCovid19,prior_mpox_infection_date,NOT FOUND,0%,Gap
CanCOGeNCovid19,sequenced_by,NOT FOUND,0%,Gap
CanCOGeNCovid19,sequenced_by_contact_address,NOT FOUND,0%,Gap
CanCOGeNCovid19,sequenced_by_contact_email,NOT FOUND,0%,Gap
PHA4GE,specimen_processing,specimen_processing,100.0%,Exact
PHA4GE,sequencing_kit_number,sequencing_kit_number,100.0%,Exact
PHA4GE,anatomical_material,anatomical_material,100.0%,Exact
PHA4GE,consensus_sequence_name,consensus_sequence_name,100.0%,Exact
PHA4GE,bioinformatics_protocol,bioinformatics_protocol,100.0%,Exact
PHA4GE,specimen_collector_sample_id,specimen_collector_sample_id,100.0%,Exact
PHA4GE,organism,organism,100.0%,Exact
PHA4GE,host_residence_geo_loc_name_country,host_residence_geo_loc_name_country,100.0%,Exact
PHA4GE,geo_loc_name_country,geo_loc_name_country,100.0%,Exact
PHA4GE,sequencing_instrument,sequencing_instrument,100.0%,Exact
PHA4GE,library_preparation_kit,library_preparation_kit,100.0%,Exact
PHA4GE,diagnostic_pcr_ct_value_1,diagnostic_pcr_ct_value_1,100.0%,Exact
PHA4GE,host_scientific_name,host_scientific_name,100.0%,Exact
PHA4GE,sample_received_date,sample_received_date,100.0%,Exact
PHA4GE,consensus_sequence_software_version,consensus_sequence_software_version,100.0%,Exact
PHA4GE,consensus_sequence_software_name,consensus_sequence_software_name,100.0%,Exact
PHA4GE,geo_loc_name_state_province_territory,geo_loc_name_state_province_territory,100.0%,Exact
